id,region,ticker,date,Adj Close,price_usd,high_usd,low_usd,open_usd
2356,egypt,egx30,2022-06-13,,,,,
2357,egypt,egx30,2022-06-14,,,,,
2358,egypt,egx30,2022-06-15,,,,,
2359,egypt,egx30,2022-06-16,,,,,
2360,egypt,egx30,2022-06-17,,,,,
2361,egypt,egx30,2022-06-18,,,,,
2362,egypt,egx30,2022-06-19,,,,,
2363,egypt,egx30,2022-06-20,,,,,
2364,egypt,egx30,2022-06-21,,,,,
2365,egypt,egx30,2022-06-22,,,,,
2366,egypt,egx30,2022-06-23,,,,,
2367,egypt,egx30,2022-06-24,,,,,
2368,egypt,egx30,2022-06-25,,,,,
2369,egypt,egx30,2022-06-26,,,,,
2370,egypt,egx30,2022-06-27,,,,,
2371,egypt,egx30,2022-06-28,,,,,
2372,egypt,egx30,2022-06-29,,,,,
2373,egypt,egx30,2022-06-30,,,,,
2374,egypt,egx30,2022-07-01,,,,,
2375,egypt,egx30,2022-07-02,,,,,
2376,egypt,egx30,2022-07-03,,,,,
2377,egypt,egx30,2022-07-04,,,,,
2378,egypt,egx30,2022-07-05,,,,,
2379,egypt,egx30,2022-07-06,,,,,
2380,egypt,egx30,2022-07-07,,,,,
2381,egypt,egx30,2022-07-08,,,,,
2382,egypt,egx30,2022-07-09,,,,,
2383,egypt,egx30,2022-07-10,,,,,
2384,egypt,egx30,2022-07-11,,,,,
2385,egypt,egx30,2022-07-12,,,,,
2386,egypt,egx30,2022-07-13,,,,,
2387,egypt,egx30,2022-07-14,,,,,
2388,egypt,egx30,2022-07-15,,,,,
2389,egypt,egx30,2022-07-16,,,,,
2390,egypt,egx30,2022-07-17,,,,,
2391,egypt,egx30,2022-07-18,,,,,
2392,egypt,egx30,2022-07-19,,,,,
2393,egypt,egx30,2022-07-20,,,,,
2394,egypt,egx30,2022-07-21,,,,,
2395,egypt,egx30,2022-07-22,,,,,
2396,egypt,egx30,2022-07-23,,,,,
2397,egypt,egx30,2022-07-24,,,,,
2398,egypt,egx30,2022-07-25,,,,,
2399,egypt,egx30,2022-07-26,,,,,
2400,egypt,egx30,2022-07-27,,,,,
2401,egypt,egx30,2022-07-28,,,,,
2402,egypt,egx30,2022-07-29,,,,,
2403,egypt,egx30,2022-07-30,,,,,
2404,egypt,egx30,2022-07-31,,,,,
2405,egypt,egx30,2022-08-01,,,,,
2406,egypt,egx30,2022-08-02,,,,,
2407,egypt,egx30,2022-08-03,,,,,
2408,egypt,egx30,2022-08-04,,,,,
2409,egypt,egx30,2022-08-05,,,,,
2410,egypt,egx30,2022-08-06,,,,,
2411,egypt,egx30,2022-08-07,,,,,
2412,egypt,egx30,2022-08-08,,,,,
2413,egypt,egx30,2022-08-09,,,,,
2414,egypt,egx30,2022-08-10,,,,,
2415,egypt,egx30,2022-08-11,,,,,
2416,egypt,egx30,2022-08-12,,,,,
2417,egypt,egx30,2022-08-13,,,,,
2418,egypt,egx30,2022-08-14,,,,,
2419,egypt,egx30,2022-08-15,,,,,
2420,egypt,egx30,2022-08-16,,,,,
2421,egypt,egx30,2022-08-17,,,,,
2422,egypt,egx30,2022-08-18,,,,,
2423,egypt,egx30,2022-08-19,,,,,
2424,egypt,egx30,2022-08-20,,,,,
2425,egypt,egx30,2022-08-21,,,,,
2426,egypt,egx30,2022-08-22,,,,,
2427,egypt,egx30,2022-08-23,,,,,
2428,egypt,egx30,2022-08-24,,,,,
2429,egypt,egx30,2022-08-25,,,,,
2430,egypt,egx30,2022-08-26,,,,,
2431,egypt,egx30,2022-08-27,,,,,
2432,egypt,egx30,2022-08-28,,,,,
2433,egypt,egx30,2022-08-29,,,,,
2434,egypt,egx30,2022-08-30,,,,,
2435,egypt,egx30,2022-08-31,,,,,
2436,egypt,egx30,2022-09-01,,,,,
2437,egypt,egx30,2022-09-02,,,,,
2438,egypt,egx30,2022-09-03,,,,,
2439,egypt,egx30,2022-09-04,,,,,
2440,egypt,egx30,2022-09-05,,,,,
2441,egypt,egx30,2022-09-06,,,,,
2442,egypt,egx30,2022-09-07,,,,,
2443,egypt,egx30,2022-09-08,,,,,
2444,egypt,egx30,2022-09-09,,,,,
2445,egypt,egx30,2022-09-10,,,,,
2446,egypt,egx30,2022-09-11,,,,,
2447,egypt,egx30,2022-09-12,,,,,
2448,egypt,egx30,2022-09-13,,,,,
2449,egypt,egx30,2022-09-14,,,,,
2450,egypt,egx30,2022-09-15,,,,,
2451,egypt,egx30,2022-09-16,,,,,
2452,egypt,egx30,2022-09-17,,,,,
2453,egypt,egx30,2022-09-18,,,,,
2454,egypt,egx30,2022-09-19,,,,,
2455,egypt,egx30,2022-09-20,,,,,
2456,egypt,egx30,2022-09-21,,,,,
2457,egypt,egx30,2022-09-22,,,,,
2458,egypt,egx30,2022-09-23,,,,,
2459,egypt,egx30,2022-09-24,,,,,
2460,egypt,egx30,2022-09-25,,,,,
2461,egypt,egx30,2022-09-26,,,,,
2462,egypt,egx30,2022-09-27,,,,,
2463,egypt,egx30,2022-09-28,,,,,
2464,egypt,egx30,2022-09-29,,,,,
2465,egypt,egx30,2022-09-30,,,,,
2466,egypt,egx30,2022-10-01,,,,,
2467,egypt,egx30,2022-10-02,,,,,
2468,egypt,egx30,2022-10-03,,,,,
2469,egypt,egx30,2022-10-04,,,,,
2470,egypt,egx30,2022-10-05,,,,,
2471,egypt,egx30,2022-10-06,,,,,
2472,egypt,egx30,2022-10-07,,,,,
2473,egypt,egx30,2022-10-08,,,,,
2474,egypt,egx30,2022-10-09,,,,,
2475,egypt,egx30,2022-10-10,,,,,
2476,egypt,egx30,2022-10-11,,,,,
